BHK,Rent,Size,Floor,Area Type,Furnishing Status,Bathroom,Tenant Preferred_Bachelors,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Point of Contact_Contact Agent,Point of Contact_Contact Builder,Point of Contact_Contact Owner,City_Bangalore,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai
2,7000,700,0,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0
2,22000,800,4,1,2,1,0,1,0,1,0,0,0,0,0,0,1,0
2,6500,450,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,8500,550,2,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
2,18000,800,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0
2,12000,550,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0
1,9000,600,2,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
1,6000,500,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,20000,1000,1,1,2,2,0,1,0,0,0,1,0,0,0,0,1,0
1,5000,300,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,12000,1200,1,1,2,2,0,1,0,0,0,1,0,0,0,0,1,0
2,10000,500,3,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
4,18000,1200,1,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0
2,15000,900,1,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0
3,22000,1300,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1,0
4,35000,1600,1,0,0,3,0,1,0,1,0,0,0,0,0,0,1,0
3,21000,1450,0,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0
2,25000,1100,2,1,2,2,1,0,0,1,0,0,0,0,0,0,1,0
2,180000,950,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
1,6000,600,8,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,14000,700,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
3,8000,750,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
2,8000,1000,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,6000,220,0,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
1,8000,300,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0
1,6000,300,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
1,20000,700,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
3,12000,800,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
3,15000,1600,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,14000,1000,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
1,5000,20,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,7000,400,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,3900,200,2,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
3,14000,840,1,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0
1,6300,300,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
2,13000,550,1,0,2,2,0,1,0,1,0,0,0,0,0,0,1,0
1,6800,300,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
2,8000,800,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,10000,740,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,18000,1300,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,8000,650,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,8000,490,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
1,4700,250,2,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
1,4700,250,0,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
1,4500,450,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,6000,300,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,16000,750,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
1,4700,250,1,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
2,14000,751,3,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,9000,900,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0
2,5000,400,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,17500,1000,0,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0
2,8500,1000,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,15000,1500,1,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0
2,12500,750,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
1,13000,1200,2,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,8000,700,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,8000,700,4,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0
2,8000,1000,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,7000,1200,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,2200,550,2,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
2,8000,800,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,5500,280,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
3,20000,1100,0,1,0,3,0,1,0,0,0,1,0,0,0,0,1,0
2,7000,950,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
1,3500,250,1,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
2,5000,1000,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
3,20000,1000,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0
2,7000,650,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,10000,700,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,7000,700,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
3,12000,1000,0,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0
2,14500,900,1,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0
1,6000,700,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,9500,700,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,10000,450,2,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0
1,3500,120,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,9000,800,1,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0
3,40000,1220,2,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
3,16500,1100,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,8000,700,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0
2,12000,800,0,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
2,6500,670,2,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
4,40000,1300,1,1,0,3,0,1,0,0,0,1,0,0,0,0,1,0
1,5000,190,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,9000,700,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
1,7000,240,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,18000,850,2,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
1,9000,950,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
1,5500,450,1,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0
2,7500,800,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,4000,600,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,10500,800,2,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0
3,15000,1100,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,15000,800,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0
1,50000,2200,2,1,2,3,0,1,0,0,0,1,0,0,0,0,1,0
2,12000,950,1,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0
2,11000,550,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,12000,1800,1,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0
2,8000,1000,0,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
2,18000,600,0,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0
2,8000,750,2,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0
2,7000,685,2,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
1,6500,44,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0
4,13000,1200,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,9000,500,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
4,10000,1110,2,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,12000,1000,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,5000,392,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,6000,700,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,5200,750,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,15000,1500,1,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0
2,9000,900,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
1,24000,710,1,1,2,1,1,0,0,1,0,0,0,0,0,0,1,0
1,5500,400,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,10000,700,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,15000,1000,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
1,4700,250,1,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
1,5000,500,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,5000,450,2,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
3,15000,1400,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,5000,500,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,6000,700,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,18000,1200,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,8000,450,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,13000,500,2,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0
2,7500,400,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,12000,1000,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,11000,750,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,6000,450,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
3,20000,1000,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0
2,7000,500,1,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0
4,30000,1600,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0
2,7500,550,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,6500,550,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
1,3000,200,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,5200,650,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,25000,1000,1,1,2,2,0,1,0,0,0,1,0,0,0,0,1,0
2,12500,680,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,8500,720,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,3500,500,4,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,7000,800,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,3000,160,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,14000,1200,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0
1,18000,700,0,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
1,3500,1000,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,16000,1250,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,0
4,35000,1600,0,1,0,3,0,1,0,0,0,1,0,0,0,0,1,0
2,21000,700,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
1,4500,450,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,15000,839,1,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0
1,4500,230,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,5500,1800,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,8500,800,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
1,5000,500,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,8500,620,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,9000,650,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,7500,550,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0
2,7000,450,1,0,2,2,1,0,0,0,0,1,0,0,0,0,1,0
3,15000,1350,1,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0
2,7000,600,2,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0
3,10000,1200,2,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
2,7000,700,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
3,3200,800,1,0,2,2,0,1,0,0,0,1,0,0,0,0,1,0
2,6000,600,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,12000,900,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,6000,750,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,10000,1250,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
3,12000,1000,2,1,1,3,0,1,0,0,0,1,0,0,0,0,1,0
2,8000,600,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,5300,650,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,5000,450,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
3,8500,800,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
3,22000,1000,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0
2,7000,1000,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,25000,1400,5,0,2,3,1,0,0,1,0,0,0,0,0,0,1,0
2,7000,600,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0
2,15000,723,0,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0
1,6000,320,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,8000,900,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
3,40000,1400,0,0,2,2,0,1,0,1,0,0,0,0,0,0,1,0
1,6000,2160,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
2,15000,650,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,6500,800,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
3,8000,800,2,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
1,5500,500,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,9000,1700,1,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0
1,6000,130,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
1,15000,505,0,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
4,30000,4000,0,1,2,3,0,1,0,1,0,0,0,0,0,0,1,0
3,30000,1250,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
1,5000,700,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,15000,900,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,6500,650,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,4500,750,0,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
2,7000,450,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,6500,350,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
1,17500,480,1,0,2,2,1,0,0,0,0,1,0,0,0,0,1,0
2,10000,900,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,1500,200,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
3,25000,1100,2,1,0,3,0,1,0,0,0,1,0,0,0,0,1,0
2,12000,800,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,7500,1000,0,0,2,2,0,1,0,0,0,1,0,0,0,0,1,0
1,7000,800,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,3500,200,-1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
3,10000,1190,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,14000,900,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0
2,15000,1500,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,6500,600,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,10000,800,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,10500,800,1,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0
3,10000,900,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0
1,5000,350,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,9000,800,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,20000,1600,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0
3,35000,1012,2,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0
3,15000,1200,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0
2,20000,700,1,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
2,12000,1000,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,8000,800,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,3000,500,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
3,20000,1200,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0
1,9000,450,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
3,13000,950,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
1,7000,350,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
1,9000,450,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
1,9000,550,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0
2,10000,300,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
3,15000,1250,0,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0
2,7000,700,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,8000,812,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,8000,550,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,5000,500,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
1,14000,320,1,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0
2,5000,600,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,5000,420,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
3,12000,1100,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,3200,220,3,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,8500,700,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0
3,16000,1200,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0
2,14000,800,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
1,8000,300,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0
2,7000,650,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,8000,600,1,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
1,3000,350,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,3800,500,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,6500,400,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,20000,1750,0,1,1,3,0,1,0,0,0,1,0,0,0,0,1,0
3,30000,1600,3,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
1,8000,300,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
2,14000,1100,1,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0
2,7200,830,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,7000,600,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0
1,7000,500,1,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0
2,7500,900,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,8500,1250,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0
2,12000,700,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
1,8500,850,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0
2,9500,550,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,7500,550,0,0,2,2,0,1,0,0,0,1,0,0,0,0,1,0
2,12000,1200,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
